Operator_ID,Operator_Name,Email,Phone,Role,Status,Site_ID
OP245,Dennis Marshall,maryelliott@goodwin.com,858-969-3806,MANAGER,ACTIVE,S002
OP246,Cynthia Evans,torr@shaw.org,+1-592-417-2233x20616,MANAGER,ACTIVE,S004
OP247,Deanna Bartlett,millerangela@nguyen.com,001-399-386-1622x999,FIELD_OPERATOR,ACTIVE,S002
OP248,Ashlee Mitchell,natalie46@washington.com,(229)796-0653x0745,MANAGER,ACTIVE,S004
OP249,Elizabeth Ramirez,rgarrison@compton.com,775-246-9137x3678,MANAGER,ACTIVE,S001
OP250,Caitlin Collins,htaylor@johnson.com,807.305.3457,MANAGER,ACTIVE,S002
OP251,Dana Burns,ethompson@arnold.com,001-814-206-0293x3334,FIELD_OPERATOR,ACTIVE,S006
OP252,Tracy Fleming,pbuck@burke.com,894-346-6574x374,FIELD_OPERATOR,ACTIVE,S004
OP253,Zachary Levy,anna99@evans-rodriguez.com,445-244-4328x30965,MANAGER,ACTIVE,S006
OP254,Yolanda Green,vsullivan@aguilar.com,638-475-8428x24172,FIELD_OPERATOR,ACTIVE,S005
OP255,Stephanie Pena,michaelgarner@fisher-eaton.com,594-371-7099x917,FIELD_OPERATOR,ACTIVE,S003
OP256,Jane Evans,pittsedward@cooper.info,(252)917-5250,MANAGER,ACTIVE,S005
OP257,Philip Jackson,tracygallagher@anderson.biz,(267)260-0835x0583,FIELD_OPERATOR,ACTIVE,S006
OP258,Danielle Steele,larry16@chapman.com,878-298-5625x7532,FIELD_OPERATOR,ACTIVE,S001
OP259,Nicholas Anderson,lawrencegary@dawson-conner.biz,+1-848-390-9010x0167,FIELD_OPERATOR,ACTIVE,S002
OP260,Kara Hernandez,turnerdorothy@meyer.biz,589-614-1173,FIELD_OPERATOR,ACTIVE,S004
OP261,Valerie Howard,cphillips@crawford.com,300.311.9721,MANAGER,ACTIVE,S005
OP262,Maria Bryant,joseph01@sawyer.com,+1-356-711-0022x55794,FIELD_OPERATOR,ACTIVE,S006
OP263,Catherine Morales,ynelson@jefferson.com,920-421-6979,FIELD_OPERATOR,ACTIVE,S004
OP264,Peggy Carr,timothyfreeman@alexander-brown.com,3898935889,FIELD_OPERATOR,ACTIVE,S005
OP265,Danielle Reed,jhernandez@brown.info,821.575.3540x8386,FIELD_OPERATOR,ACTIVE,S008
OP266,Jeremy Berry,gatessergio@hooper.com,666-508-8019,MANAGER,ACTIVE,S005
OP267,Joy Peterson,velasquezmegan@castro-harvey.info,001-757-311-3055x488,MANAGER,ACTIVE,S001
OP268,Christopher Taylor,nrodriguez@lopez.com,435.916.0917x798,MANAGER,ACTIVE,S005
OP269,Noah Tran,eroberson@norman.com,001-821-769-9586x6934,MANAGER,ACTIVE,S002
OP270,Jodi Anderson,vmorrison@evans.net,+1-733-939-4522x8851,FIELD_OPERATOR,ACTIVE,S005
OP271,Terri Mckinney,natalie60@rodriguez.com,242.744.2043,FIELD_OPERATOR,ACTIVE,S002
OP272,Ashley Parrish,juliahoffman@dixon.com,001-906-566-5800x439,MANAGER,ACTIVE,S003
OP273,Michele Holland,kimberlybrandt@cole-lucero.com,(628)416-0648,FIELD_OPERATOR,ACTIVE,S005
OP274,Ryan Smith,jmckinney@hernandez.org,5944798515,MANAGER,ACTIVE,S004
OP275,Rachel Moore,odavis@alvarado.com,539-287-8015x7399,MANAGER,ACTIVE,S006
OP276,Erica Moon,cruzamber@johnson-black.com,287.370.4358x11288,FIELD_OPERATOR,ACTIVE,S005
OP277,Mark Lewis,nhouston@poole.biz,+1-312-507-5011x0248,MANAGER,ACTIVE,S008
OP278,Jennifer Hayes,bhamilton@nunez-nichols.org,390-615-8144,FIELD_OPERATOR,ACTIVE,S001
OP279,Jessica Foster,wellsamanda@francis.com,+1-824-350-8821x0099,FIELD_OPERATOR,ACTIVE,S007
OP280,Paul Berger,jason82@white.com,612.390.8781,FIELD_OPERATOR,ACTIVE,S001
OP281,Craig Carpenter,michael31@harvey-mccullough.com,275.794.9299x5562,FIELD_OPERATOR,ACTIVE,S006
OP282,Daniel Singh,xhill@frazier.info,575.647.8129x142,FIELD_OPERATOR,ACTIVE,S005
OP283,Lori Luna,atkinsoncrystal@riley.com,+1-648-487-2563,FIELD_OPERATOR,ACTIVE,S008
OP284,Jordan Sanders,batesmelanie@sutton.com,(599)327-5037,MANAGER,ACTIVE,S007
OP285,David Barnett,paul70@hooper.com,001-384-649-8926x659,MANAGER,ACTIVE,S001
OP286,Terry Black,lisa57@eaton-smith.com,323.518.4322x259,FIELD_OPERATOR,ACTIVE,S002
OP287,Gary Wilson,lmendoza@holland.com,402.299.2280,MANAGER,ACTIVE,S003
OP288,Thomas Black,kgreene@smith.com,437-497-7236,MANAGER,ACTIVE,S001
OP289,Kayla Jackson,sandra99@hall.com,403-988-6291,FIELD_OPERATOR,ACTIVE,S003
OP290,Linda Rich,davisdonna@ryan.biz,465.608.6376x59916,FIELD_OPERATOR,ACTIVE,S003
OP291,David Trevino,carmen86@lopez-fletcher.com,001-781-380-6356,FIELD_OPERATOR,ACTIVE,S005
OP292,Matthew King,ncunningham@braun-sanders.com,(488)372-5887x44956,FIELD_OPERATOR,ACTIVE,S001
OP293,Jillian Lyons,craigromero@owen-mendez.com,(360)612-7961,FIELD_OPERATOR,ACTIVE,S004
OP294,Bobby Johnson,zarias@douglas.com,001-427-270-3843x09883,MANAGER,ACTIVE,S004
OP295,Matthew Cantrell,sheakimberly@caldwell-sullivan.com,901.818.4895x54393,MANAGER,ACTIVE,S002
OP296,Debbie Russell,hansenwesley@arroyo-pratt.com,+1-994-976-9735,FIELD_OPERATOR,ACTIVE,S007
OP297,Shannon Olson,carlos33@gutierrez-gomez.net,4439416518,MANAGER,ACTIVE,S003
OP298,Daniel Berry,staceyvega@porter.com,001-934-233-3395x2111,FIELD_OPERATOR,ACTIVE,S003
OP299,Kimberly Williams,uwatson@villanueva-ibarra.org,972-284-6392x086,FIELD_OPERATOR,ACTIVE,S007
OP300,Jennifer Parks,stephenmartinez@stevens.com,(791)755-9428x4347,FIELD_OPERATOR,ACTIVE,S003
OP301,Jeff Barnes,michael64@white-anderson.org,+1-831-943-8663x22702,MANAGER,ACTIVE,S006
OP302,Steven Mccoy,kristen44@garrison.com,7346717545,FIELD_OPERATOR,ACTIVE,S004
OP303,Jason Bell,barbarasantos@thompson.net,871.369.4722x5699,FIELD_OPERATOR,ACTIVE,S003
OP304,Greg Edwards,jennifer96@barron-norman.com,001-498-876-2202x3413,MANAGER,ACTIVE,S002
OP305,Arthur Johns,johnsonrandy@garcia.com,464-233-4722,FIELD_OPERATOR,ACTIVE,S001
OP306,Howard Herman,imcdonald@dunn-taylor.net,(799)979-6884,FIELD_OPERATOR,ACTIVE,S004
OP307,Regina Ramos,robert24@smith.com,778-507-7406x4930,FIELD_OPERATOR,ACTIVE,S008
OP308,Justin Foster,jenniferbrewer@walker-miller.com,994.648.4631x22417,FIELD_OPERATOR,ACTIVE,S005
OP309,Katherine Flores,brandonnichols@compton.com,(770)831-2073,FIELD_OPERATOR,ACTIVE,S004
OP310,Robert Bolton,cterry@miller-christensen.com,8462187234,FIELD_OPERATOR,ACTIVE,S004
OP311,Randy Wright,cwright@murray.net,+1-537-764-5208x81474,FIELD_OPERATOR,ACTIVE,S006
OP312,Sharon Robinson,youngryan@jackson.org,763-300-9792,FIELD_OPERATOR,ACTIVE,S002
OP313,Jonathan Parks,sarah00@newman-miles.com,(873)758-5730,FIELD_OPERATOR,ACTIVE,S006
OP314,Danielle Williams,ihansen@henry.com,001-774-998-2182x7448,MANAGER,ACTIVE,S007
OP315,Mark Gray,nicoleharvey@parsons-allen.com,+1-386-338-7829x45651,MANAGER,ACTIVE,S006
OP316,Todd White,harristodd@johnson.biz,+1-378-999-4053x91037,FIELD_OPERATOR,ACTIVE,S002
OP317,Amy Grant,yshort@brown.com,413-881-1386x3383,FIELD_OPERATOR,ACTIVE,S003
OP318,Pamela Ray,bpark@jackson.net,(885)728-9755x8556,MANAGER,ACTIVE,S005
OP319,Kristine Lewis,michael77@smith-johnson.com,+1-408-324-0433x504,FIELD_OPERATOR,ACTIVE,S002
OP320,Henry Taylor,pamela33@shepherd-davis.biz,001-631-257-2791,MANAGER,ACTIVE,S007
OP321,Laura Miller,weeksmatthew@butler-parrish.com,001-590-460-4805x8925,FIELD_OPERATOR,ACTIVE,S006
OP322,Nicholas Long,kmullins@davis.com,(351)879-0864,FIELD_OPERATOR,ACTIVE,S002
OP323,Patricia Anderson,timothygonzalez@pearson-gonzalez.org,001-783-731-4659x1166,FIELD_OPERATOR,ACTIVE,S004
OP324,Gregory Rios,gary59@hanson-alexander.com,652.211.0392,FIELD_OPERATOR,ACTIVE,S001
OP325,Robert Torres,njohnson@medina.com,+1-679-420-6980,MANAGER,ACTIVE,S007
OP326,Curtis Horton,brian01@guerrero-alvarado.com,904-363-6815,FIELD_OPERATOR,ACTIVE,S004
OP327,Jonathan Ellis,williamssandra@cook-long.com,6558543840,FIELD_OPERATOR,ACTIVE,S007
OP328,Robin Johnson,jeremiah56@taylor.org,+1-536-439-2649x5782,FIELD_OPERATOR,ACTIVE,S006
OP329,Melinda Harris,kylethornton@browning.com,+1-892-851-8812x5205,MANAGER,ACTIVE,S006
OP330,Patrick Underwood,edwin31@lopez.org,499-993-9330x517,MANAGER,ACTIVE,S002
OP331,Jacqueline Christian,kwells@perez.com,563-833-1279x757,MANAGER,ACTIVE,S005
OP332,Andrew Moss,zcortez@crosby.com,517.670.3886x08680,MANAGER,ACTIVE,S005
OP333,Stephen Ayala,steven64@ellison.info,+1-271-481-2982x6657,MANAGER,ACTIVE,S007
OP334,Steven Huang,udavis@wong.com,417-851-8689,FIELD_OPERATOR,ACTIVE,S007
OP335,Amanda Jackson,ariana22@white.com,(944)974-2123x09407,MANAGER,ACTIVE,S005
OP336,Abigail Andrade,jaykeller@ortiz-miller.org,4382498302,MANAGER,ACTIVE,S003
OP337,Amanda Nash,mark10@butler.com,+1-749-899-8279x50145,FIELD_OPERATOR,ACTIVE,S007
OP338,Olivia Bridges,carterdennis@villarreal.com,001-739-601-9817x946,MANAGER,ACTIVE,S007
OP339,Whitney Gomez,christinacrawford@welch.org,843.801.0713,MANAGER,ACTIVE,S003
OP340,Gregory Shaffer,alexharris@king-jones.com,785.901.5569x90235,MANAGER,ACTIVE,S005
OP341,Rebecca Brewer,dmoore@huang.com,249.758.8039x55124,FIELD_OPERATOR,ACTIVE,S001
OP342,Miss Sarah Duncan,hlopez@thornton-edwards.com,361-773-5743x842,FIELD_OPERATOR,ACTIVE,S005
OP343,Paula Gentry,zhunter@stein-moore.com,384.252.1823x0768,FIELD_OPERATOR,ACTIVE,S007
OP344,Andrew Charles,cookpamela@meyer.com,7949353344,MANAGER,ACTIVE,S006
OP345,Denise Moore,smithcindy@garcia.com,(949)232-1495,FIELD_OPERATOR,ACTIVE,S008
OP346,John Lowe,reyeschristopher@white-carlson.org,+1-979-354-5381x7921,FIELD_OPERATOR,ACTIVE,S004
OP347,Michael Mckinney,oruiz@callahan.com,(962)955-7701x715,MANAGER,ACTIVE,S008
OP348,Diane Bailey,williamsullivan@robles.com,+1-476-996-3938,MANAGER,ACTIVE,S003
OP349,Glen Cervantes,bmueller@cobb.com,001-897-319-9758x1724,MANAGER,ACTIVE,S002
